,	[Man]
.	[Fire/Sky]
/	[Moon]
1	[Ф1]
2	[Ф2]
3	[Ф3]
4	[Ф4]
5	[Ф5]
6	[Ф6]
7	[Ф7]
?	[Chaos]
A	[Dragonewt]
B	[Beast]
C	[Bear]
E	[Heler]
F	[Barntar]
G	[Sartar]
H	[Hell]
I	[God / Divine World]
K	[Luck]
L	[Heat]
O	[Light]
P	[Pamalt]
Q	[Cold]
R	[Magic]
S	[Infinity]
V	[Eternal Battle]
W	[Mastery]
X	[Fate]
Y	[Yinkin]
a	[Law]
b	[Spirit]
c	[Stasis]
d	[Dragon]
e	[Earth]
f	[Lightbringers]
g	[Air]
h	[Communication]
i	[Illusion]
j	[Disorder]
k	[Shargash]
l	[Harmony]
n	[Horse]
o	[Darkness]
p	[Plant]
s	[Movement]
t	[Death]
u	[Undead]
w	[Water]
x	[Fertility]
y	[Truth]
