1	[Ф1]
2	[Ф2]
3	[Ф3]
4	[Ф4]
5	[Ф5]
6	[Ф6]
7	[Ф7]
w	[Water]
e	[Earth]
t	[Death]
y	[Truth]
u	[Undead]
i	[Illusion]
o	[Darkness]
p	[Plant]
a	[Law]
s	[Movement]
d	[Dragon]
f	[Lightbringers]
g	[Air]
h	[Communication]
j	[Disorder]
k	[Shargash]
l	[Harmony]
x	[Fertility]
c	[Stasis]
b	[Spirit]
n	[Horse]
,	[Man]
.	[Fire/Sky]
/	[Moon]
Q	[Cold]
W	[Mastery]
E	[Heler]
R	[Magic]
Y	[Yinkin]
I	[God / Divine World]
O	[Light]
P	[Pamalt]
A	[Dragonewt]
S	[Infinity]
F	[Barntar]
G	[Sartar]
H	[Hell]
K	[Luck]
L	[Heat]
X	[Fate]
C	[Bear]
V	[Eternal Battle]
B	[Beast]
?	[Chaos]
